"inst_id","type","name","department","address","city","state","zip"
"1","education","Michigan State University","College of Engineering","","East Lansing","MI","48824"
"2","education","Michigan State University","College of Communication and Arts","","East Lansing","MI","48824"
"3","work","Michigan State University","Women in Engineering K-12 Outreach Department","","East Lansing","MI","48824"
"4","work","Crowe LLP","","","Grand Rapids","MI","49503"
"5","work","The Center for Spartan Engineering","","","East Lansing","MI","48824"
"6","work","Sigma Machine Inc","","","Kalamazoo","MI","49001"
"7","projects","Personal Projects","","","Chicago","IL","60607"
