"position_id","inst_id","title","responsibilities","start_date","end_date"
"1","1","Bachelor of Science in Computer Science","Dual degree program combining technical and creative skills","2020-08-01","2025-05-01"
"2","2","Bachelor of Arts in Media and Information","Dual degree program combining technical and creative skills","2020-08-01","2025-05-01"
"3","3","Student Ambassador","Led educational workshops and outreach programs for K-12 students","2022-08-01","2023-04-01"
"4","4","Product Engineer Intern","Designed UI components and improved design system workflows","2021-06-01","2021-12-01"
"5","5","Marketing & Graphic Design Intern","Created visual content and managed social media strategy","2019-10-01","2021-05-01"
"6","6","Research & Development Intern","Developed 3D models and standardized documentation templates","2019-05-01","2019-08-01"
"7","7","Dynamic Portfolio & Resume System","Full-stack web application with database-driven content management","2025-01-01","NULL"
"8","7","HAP AI Training Platform","Senior Capstone Project - AI literacy training platform","2024-01-01","2024-05-01"
